person_id,product_id
1,6
1,8
1,5
2,6
2,5
2,8
3,5
3,7
3,8
3,6
4,6
4,8
4,5
4,7
5,5
5,7
6,8
6,5
21,6
21,8
21,7
22,8
22,6
22,7
22,5
23,5
24,8
24,7
24,6
25,7
25,5
25,6
26,8
26,6
26,5
26,7
78,5
78,8
78,7
79,5
79,8
80,6
80,7
80,5
81,6
81,7
82,6
82,5
83,8
83,7
86,6
86,7
87,8
87,5
87,6
87,7
88,5
88,8
88,6
89,6
89,8
89,7
90,6
90,5
90,8
91,5
91,7
91,8
103,6
103,7
103,5
104,6
104,7
104,5
105,7
105,5
106,5
106,6
106,8
107,6
107,7
107,5
107,8
108,7
108,8
117,7
117,8
117,5
118,6
118,8
118,5
119,7
119,6
119,8
120,7
120,5
120,6
121,5
121,6
121,7
122,7
122,8
127,6
128,8
128,6
129,5
129,7
130,6
130,5
131,5
131,6
131,7
132,6
132,7
132,5
171,6
171,5
171,7
172,8
172,5
172,6
173,7
173,5
173,6
174,5
174,7
174,8
174,6
175,7
175,6
175,5
176,8
176,6
241,6
241,8
242,7
242,5
242,6
242,8
243,6
243,7
243,8
244,5
244,8
244,7
245,5
245,6
245,8
246,7
246,5
263,5
263,8
263,7
264,6
264,7
265,8
265,6
266,7
266,6
266,8
267,7
267,5
267,6
268,8
268,5
268,6
308,8
308,5
309,7
309,8
309,5
310,6
310,8
311,8
311,6
312,6
312,5
312,7
313,5
313,6
313,8
341,5
341,8
341,6
341,7
342,6
342,5
342,8
343,6
343,8
344,7
344,6
344,8
345,6
345,8
345,7
346,5
346,8
346,7
401,5
401,7
402,7
402,8
403,7
403,5
404,7
404,6
404,8
405,7
405,6
406,6
406,5
442,6
442,8
442,7
443,5
443,8
444,7
444,6
444,5
445,6
445,7
445,5
446,8
446,5
447,7
447,8
447,6
447,5
480,8
480,7
481,7
481,6
481,8
482,5
482,6
482,7
483,6
483,8
483,7
484,6
484,5
485,8
485,5
485,7
528,6
528,8
529,7
529,8
529,5
530,8
530,6
530,5
530,7
531,8
531,6
531,5
532,7
532,8
532,5
533,6
533,8
533,5
555,6
555,7
555,8
556,8
556,5
556,7
557,5
557,8
557,7
557,6
558,7
558,6
558,8
559,5
559,7
559,8
560,6
560,5
580,7
580,6
580,5
581,6
581,5
581,8
582,5
582,7
582,8
583,5
583,7
583,6
584,8
584,6
584,7
584,5
585,5
585,8
585,7
614,6
614,7
614,8
615,7
615,6
615,8
616,7
616,8
617,5
617,7
617,8
617,6
618,7
618,5
618,6
618,8
619,7
619,6
619,8
674,7
674,8
674,5
675,8
675,7
675,5
676,6
676,7
677,5
677,8
678,6
678,7
678,5
679,7
679,8
679,6
726,5
726,7
727,6
727,7
727,5
727,8
728,5
728,8
728,7
729,8
729,5
729,7
730,7
730,6
730,8
731,6
731,5
745,7
745,5
746,5
746,7
746,8
746,6
747,6
747,8
748,5
748,6
748,8
749,8
749,6
750,6
750,8
750,5
788,6
788,7
789,8
789,5
789,7
790,8
790,5
791,6
791,7
791,8
791,5
792,8
792,6
792,7
793,7
793,5
799,5
799,7
799,8
799,6
800,6
800,5
800,7
801,8
801,5
801,6
802,8
803,8
803,5
804,8
804,6
820,7
820,8
820,6
821,5
821,7
821,6
822,5
822,8
823,7
823,8
824,8
824,5
825,8
825,6
888,7
888,8
889,6
889,8
890,7
890,8
890,5
891,5
891,8
891,7
892,6
892,5
893,8
893,5
893,6
941,6
941,5
942,5
942,7
943,8
943,5
944,5
944,7
944,8
945,8
945,5
946,7
946,8
946,5
995,6
995,5
995,7
996,7
996,8
996,6
997,5
997,7
998,7
998,8
999,6
999,8
1000,8
1000,5
1009,7
1009,6
1009,5
1010,6
1010,5
1010,7
1011,6
1011,5
1011,8
1011,7
1012,6
1012,8
1012,5
1013,8
1013,6
1014,5
1014,8
1014,6
1045,5
1045,7
1046,5
1046,7
1046,6
1047,7
1047,6
1047,8
1048,7
1048,8
1048,6
1049,7
1049,8
1050,6
1050,8
1062,5
1062,8
1062,7
1063,6
1063,5
1064,8
1064,7
1065,6
1065,5
1065,7
1066,5
1066,8
1066,6
1067,7
1067,5
1107,7
1107,8
1108,5
1108,8
1108,6
1109,7
1109,6
1109,8
1110,7
1110,8
1111,6
1111,5
1111,7
1112,7
1112,8
1141,8
1141,5
1141,7
1142,8
1142,5
1143,5
1143,7
1143,8
1144,6
1144,8
1144,5
1145,6
1145,8
1145,7
1145,5
1146,8
1146,6
1153,5
1153,8
1153,7
1154,5
1154,6
1154,7
1155,6
1155,8
1155,5
1156,6
1156,5
1157,5
1157,7
1157,8
1158,8
1158,7
1161,7
1161,6
1161,8
1161,5
1162,7
1162,8
1162,6
1163,8
1163,5
1163,7
1164,6
1164,8
1164,5
1165,5
1165,6
1165,7
1166,7
1166,6
1166,8
1175,5
1175,7
1175,6
1176,7
1176,6
1176,8
1177,5
1177,8
1177,7
1178,8
1178,7
1178,5
1179,5
1179,7
1179,6
1180,5
1180,6
1180,7
1197,5
1197,7
1197,8
1198,6
1198,5
1198,7
1199,8
1199,7
1200,7
1200,5
1200,6
1200,8
1201,8
1201,7
1201,5
1201,6
1202,7
1202,8
1202,5
1260,8
1260,5
1260,6
1261,7
1261,5
1261,8
1262,6
1262,5
1263,6
1263,8
1264,5
1264,7
1264,6
1265,7
1265,6
1265,5
1317,8
1317,7
1317,5
1318,7
1318,6
1319,6
1319,8
1320,6
1320,7
1321,8
1321,7
1321,5
1322,6
1322,7
1322,8
1322,5
1370,8
1370,6
1371,8
1371,6
1371,5
1372,5
1372,6
1373,7
1373,8
1373,5
1374,8
1374,6
1374,7
1374,5
1375,5
1375,7
1375,8
1383,8
1383,7
1384,7
1384,8
1384,6
1385,5
1385,7
1385,6
1386,8
1386,7
1386,5
1387,5
1387,8
1388,5
1388,6
1388,8
1416,5
1416,6
1417,7
1417,5
1417,8
1418,8
1418,6
1418,7
1418,5
1419,8
1419,6
1420,6
1420,8
1420,7
1421,5
1421,7
1421,6
1447,7
1447,5
1447,8
1448,8
1448,7
1448,5
1449,8
1449,6
1449,5
1450,5
1450,8
1451,6
1451,8
1451,7
1452,8
1452,5
1505,5
1505,7
1505,8
1506,8
1506,6
1506,5
1507,8
1507,6
1508,6
1508,5
1508,8
1509,6
1509,5
1510,6
1510,7
1510,8
1513,6
1513,5
1514,8
1514,6
1514,7
1515,5
1515,7
1515,6
1516,6
1516,5
1516,7
1517,6
1517,7
1517,5
1518,5
1518,6
1544,5
1544,7
1545,7
1545,8
1545,6
1545,5
1546,6
1546,8
1546,5
1547,5
1547,8
1547,6
1548,6
1548,5
1548,7
1549,7
1549,5
1554,6
1554,7
1554,8
1555,6
1555,8
1555,5
1556,5
1556,8
1556,7
1557,5
1557,7
1557,6
1558,5
1558,8
1558,7
1559,8
1559,5
1559,6
1586,5
1586,7
1586,8
1587,7
1587,6
1587,8
1588,7
1588,6
1588,5
1589,8
1589,7
1590,8
1590,6
1590,7
1591,5
1591,6
1591,8
1648,6
1648,7
1648,5
1649,6
1649,7
1649,5
1650,5
1650,8
1651,8
1651,5
1651,6
1652,5
1652,6
1652,7
1652,8
1653,7
1653,8
